Country,ISO-3,Average Ready In Per Recipe,Geocultural Region
Egypt,EGY,112.99384615384615,Middle Eastern
Nigeria,NGA,154.72288202692002,Rest Africa
Morocco,MAR,179.87420584498093,Northern Africa
Yemen,YEM,144.98389203308665,Middle Eastern
Oman,OMN,144.98389203308665,Middle Eastern
China,CHN,73.99656180161595,Chinese and Mongolian
Thailand,THA,61.89404990403071,Thai
Indonesia,IDN,74.744,Southeast Asian
Bangladesh,BGD,56.0625,Indian Subcontinent
Vietnam,VNM,181.23338048090523,Southeast Asian
Israel,ISR,55.46153846153846,Middle Eastern
Lebanon,LBN,506.69426751592357,Middle Eastern
Philippines,PHL,197.28729281767957,Southeast Asian
India,IND,117.77011878868998,Indian Subcontinent
Korea,KOR,240.68365817091455,Korean
Malaysia,MYS,68.33480176211454,Southeast Asian
Turkey,TUR,88.98375870069606,Middle Eastern
Japan,JPN,156.52355250245338,Japanese
Pakistan,PAK,76.73387096774194,Indian Subcontinent
Australia,AUS,62.74877162999359,Australian
Mexico,MEX,114.61295681063123,Mexican
Rest Caribbean,NaN,118.67260273972603,Caribbean
Puerto Rico,PRI,92.65665236051503,Caribbean
Jamaica,JAM,60.48936170212766,Caribbean
Cuba,CUB,108.80669144981412,Caribbean
Argentina,ARG,186.23052753431455,South American
Brazil,BRA,102.98434004474272,South American
Colombia,COL,326.50331125827813,South American
Chile,CHL,58.26315789473684,South American
Peru,PER,93.98333333333333,South American
Bolivia,BOL,176.38517279821627,South American
Uruguay,URY,176.38517279821627,South American
Guyana,GUY,176.38517279821627,South American
Russia,RUS,236.923887587822,Eastern European
Denmark,DNK,168.3775,Scandinavian
Scotland,GBR,392.6404593639576,UK
England,GBR,344.3258584442887,UK
UK,GBR,69.9949494949495,UK
Wales,GBR,167.66197183098592,UK
Hungary,HUN,134.08333333333334,Eastern European
Sweden,SWE,210.8991825613079,Scandinavian
Belgium,BEL,41.334310850439884,Belgian
Norway,NOR,41.37170263788969,Scandinavian
Austria,AUT,41.53823529411765,Deutschland
Greece,GRC,104.4174246050742,Greek
France,FRA,191.6906779661017,French
Switzerland,CHE,93.86435786435787,Deutschland
Portugal,PRT,198.2514619883041,Spanish and Portuguese
Italy,ITA,125.54004466171767,Italian
Poland,POL,224.83821478382148,Eastern European
Netherlands,NLD,116.78442280945758,Belgian
Ireland,IRL,350.4632790789996,Irish
Germany,DEU,310.0852952527982,Deutschland
Belarus,BLR,87.5673076923077,Eastern European
Ukraine,UKR,87.5673076923077,Eastern European
Bulgaria,BGR,87.5673076923077,Eastern European
Romania,ROU,87.5673076923077,Eastern European
Moldova,MDA,87.5673076923077,Eastern European
Luxembourg,LUX,87.5673076923077,Eastern European
Andorra,AND,87.5673076923077,Eastern European
Spain,ESP,122.18451553082986,Spanish and Portuguese
Finland,FIN,107.40136054421768,Scandinavian
Czech Republic,CZE,113.78947368421052,Eastern European
US,USA,72.6372490558537,US
Canada,CAN,170.1519138755981,Canadian
Somalia,SOM,143.0,Rest Africa
Namibia,NAM,103.85714285714286,Rest Africa
Angola,AGO,49.916666666666664,Rest Africa
Libya,LBY,57.486486486486484,Northern Africa
Sudan,SDN,31.736842105263158,Rest Africa
Ethiopia,ETH,196.37333333333333,Rest Africa
Laos,LAO,146.58928571428572,Southeast Asian
Nepal,NPL,62.02272727272727,Indian Subcontinent
Cambodia,KHM,44.252873563218394,Southeast Asian
Palestine,PSE,143.61971830985917,Middle Eastern
Saudi Arabia,SAU,109.97391304347826,Middle Eastern
Mongolia,MNG,77.2,Chinese and Mongolian
Iraq,IRQ,286.8715596330275,Middle Eastern
New Zealand,NZL,61.100623330365096,Australian
Honduras,HND,169.79608938547486,Central American
Costa Rica,CRI,61.229166666666664,Central American
Guatemala,GTM,77.14814814814815,Central American
Ecuador,ECU,83.7741935483871,South American
Paraguay,PRY,176.38517279821627,South American
Venezuela,VEN,112.88888888888889,South American
Iceland,ISL,1189.5555555555557,Scandinavian
Algeria,DZA,155.35,Rest Africa
Benin,BEN,155.35,Rest Africa
Botswana,BWA,155.35,Rest Africa
Burkina Faso,BFA,155.35,Rest Africa
Burundi,BDI,155.35,Rest Africa
Cabo Verde,CPV,155.35,Rest Africa
Cameroon,CMR,155.35,Rest Africa
Central African Republic,CAF,155.35,Rest Africa
Chad,TCD,155.35,Rest Africa
Comoros,COM,155.35,Rest Africa
Congo,COG,155.35,Rest Africa
"Congo, Democratic Republic of the",COD,155.35,Rest Africa
Djibouti,DJI,155.35,Rest Africa
Equatorial Guinea,GNQ,155.35,Rest Africa
Eritrea,ERI,155.35,Rest Africa
Eswatini,SWZ,155.35,Rest Africa
Gabon,GAB,155.35,Rest Africa
Gambia,GMB,155.35,Rest Africa
Ghana,GHA,155.35,Rest Africa
Guinea,GIN,155.35,Rest Africa
Guinea-Bissau,GNB,155.35,Rest Africa
Ivory Coast,CIV,155.35,Rest Africa
Kenya,KEN,155.35,Rest Africa
Lesotho,LSO,155.35,Rest Africa
Liberia,LBR,155.35,Rest Africa
Madagascar,MDG,155.35,Rest Africa
Malawi,MWI,155.35,Rest Africa
Mali,MLI,155.35,Rest Africa
Mauritania,MRT,155.35,Rest Africa
Mauritius,MUS,155.35,Rest Africa
Mozambique,MOZ,155.35,Rest Africa
Niger,NER,155.35,Rest Africa
Rwanda,RWA,155.35,Rest Africa
Sao Tome and Principe,STP,155.35,Rest Africa
Senegal,SEN,155.35,Rest Africa
Seychelles,SYC,155.35,Rest Africa
Sierra Leone,SLE,155.35,Rest Africa
South Africa,ZAF,155.35,Rest Africa
South Sudan,SSD,155.35,Rest Africa
Tanzania,TZA,155.35,Rest Africa
Togo,TGO,155.35,Rest Africa
Tunisia,TUN,155.35,Rest Africa
Uganda,UGA,155.35,Rest Africa
Zambia,ZMB,155.35,Rest Africa
Zimbabwe,ZWE,155.35,Rest Africa
