Country,ISO-3 Code,GDP per capita
Egypt,EGY,4295.40749561014
Nigeria,NGA,2162.63373428577
Morocco,MAR,3441.99145507813
China,CHN,12720.2163182363
Thailand,THA,6909.9562847948
Indonesia,IDN,4787.99930771921
Bangladesh,BGD,2688.30550090738
Vietnam,VNM,4163.51429874522
Israel,ISR,54930.9388075096
Lebanon,LBN,4136.14657516013
Philippines,PHL,3498.5098055874
India,IND,2410.88802070689
Korea,KOR,32422.5744864287
Malaysia,MYS,11993.1876132994
Turkey,TUR,10674.5041731531
Japan,JPN,34017.2718075024
Pakistan,PAK,1588.8798287911
Australia,AUS,65099.8459118981
Mexico,MEX,11496.5228716049
Puerto Rico,PRI,35208.6371888414
Jamaica,JAM,6047.2164567796
Cuba,CUB,9499.57250428248
Argentina,ARG,13650.6046294524
Brazil,BRA,8917.67491057495
Colombia,COL,6624.16539269075
Chile,CHL,15355.4797401048
Peru,PER,7125.82993135746
Russia,RUS,15270.7060546875
Denmark,DNK,67790.0539923276
Scotland,GBR,46125.2557513568
England,GBR,46125.2557513568
UK,GBR,46125.2557513568
Wales,GBR,46125.2557513568
Hungary,HUN,18390.1849993244
Sweden,SWE,56424.2846986686
Belgium,BEL,49926.8254295305
Norway,NOR,108729.18690323
Austria,AUT,52084.6811953372
Greece,GRC,20867.2690861087
France,FRA,40886.2532680273
Switzerland,CHE,93259.9057183024
Portugal,PRT,24515.2658507319
Italy,ITA,34776.423234274
Poland,POL,18688.0044867103
Netherlands,NLD,57025.01245598
Ireland,IRL,103983.29133582
Germany,DEU,48717.9911402128
Spain,ESP,29674.5442864413
Finland,FIN,50871.9304508821
Czech Republic,CZE,27226.6156386023
US,USA,76329.5822652029
Canada,CAN,55522.445687688
Somalia,SOM,592.103121972088
Namibia,NAM,5031.11503011478
Angola,AGO,3000.44423053173
Libya,LBY,6716.09598462328
Sudan,SDN,1102.146484375
Ethiopia,ETH,1027.58591095964
Laos,LAO,2054.43078086496
Nepal,NPL,1336.54604729847
Cambodia,KHM,1759.60802346044
Palestine,PSE,3789.32796575153
Saudi Arabia,SAU,30447.8837074473
Mongolia,MNG,5045.50470031666
Iraq,IRQ,5937.19546600271
New Zealand,NZL,48418.5916631992
Honduras,HND,3040.17304596842
Costa Rica,CRI,13365.3563992692
Guatemala,GTM,5473.20856444589
Ecuador,ECU,6391.28248430643
Venezuela,VEN,15975.7293753361
Iceland,ISL,73466.7786674708
Yemen,YEM,933
Oman,OMN,16354
Bolivia,BOL,3345
Uruguay,URY,17278
Guyana,GUY,8720
Belarus,BLR,6347
Ukraine,UKR,4383
Bulgaria,BGR,12048
Romania,ROU,14858
Moldova,MDA,4551
Luxembourg,LUX,128820
Andorra,AND,40276
Paraguay,PRY,6150
Algeria,DZA,3765
Benin,BEN,1258
Botswana,BWA,7798
Burkina Faso,BFA,871
Burundi,BDI,239
Cabo Verde,CPV,3358
Cameroon,CMR,1514
Central African Republic,CAF,478
Chad,TCD,664
Comoros,COM,1452
Congo,COG,2257
Congo Democratic Republic of the,COD,581
Djibouti,DJI,3519
Equatorial Guinea,GNQ,8415
Eritrea,ERI,600
Eswatini,SWZ,3794
Gabon,GAB,7843
Gambia,GMB,793
Ghana,GHA,2465
Guinea,GIN,1123
Guinea-Bissau,GNB,832
Ivory Coast,CIV,2521
Kenya,KEN,2034
Lesotho,LSO,1310
Liberia,LBR,705
Madagascar,MDG,543
Malawi,MWI,523
Mali,MLI,912
Mauritania,MRT,1905
Mauritius,MUS,10042
Mozambique,MOZ,490
Niger,NER,594
Rwanda,RWA,885
Sao Tome and Principe,STP,2011
Senegal,SEN,1568
Seychelles,SYC,17243
Sierra Leone,SLE,509
South Africa,ZAF,6994
South Sudan,SSD,303
Tanzania,TZA,1076
Togo,TGO,868
Tunisia,TUN,3696
Uganda,UGA,858
Zambia,ZMB,1049
Zimbabwe,ZWE,1557
