Country,ISO-3,Avg Ready In
Angola,AGO,49.916666666666664
Argentina,ARG,186.10808130887457
Australia,AUS,62.64342077201962
Austria,AUT,41.53823529411765
Bangladesh,BGD,56.0625
Belgium,BEL,41.334310850439884
Brazil,BRA,102.53006681514476
Cambodia,KHM,44.252873563218394
Canada,CAN,169.8489552238806
Chile,CHL,58.26315789473684
China,CHN,73.94640096203402
Colombia,COL,324.3618421052632
Costa Rica,CRI,61.229166666666664
Cuba,CUB,108.01107011070111
Czech Republic,CZE,113.78947368421052
Denmark,DNK,167.544776119403
Ecuador,ECU,83.7741935483871
Egypt,EGY,112.99384615384615
England,GBR,343.8453463960812
Ethiopia,ETH,196.37333333333333
Finland,FIN,107.40136054421768
France,FRA,191.45156739811912
Germany,DEU,309.4899845916795
Greece,GRC,104.24444444444444
Guatemala,GTM,77.14814814814815
Honduras,HND,169.79608938547486
Hungary,HUN,133.8526863084922
Iceland,ISL,1189.5555555555557
India,IND,117.5556112224449
Indonesia,IDN,74.744
Iraq,IRQ,286.8715596330275
Ireland,IRL,348.66903633491313
Israel,ISR,55.46153846153846
Italy,ITA,125.44991255050962
Jamaica,JAM,60.48936170212766
Japan,JPN,156.2949534541891
Korea,KOR,240.3248502994012
Laos,LAO,146.58928571428572
Lebanon,LBN,505.6228813559322
Libya,LBY,57.486486486486484
Malaysia,MYS,68.33480176211454
Mexico,MEX,114.49512549263638
Mongolia,MNG,77.2
Morocco,MAR,179.87420584498093
Namibia,NAM,103.85714285714286
Nepal,NPL,62.02272727272727
Netherlands,NLD,116.78442280945758
New Zealand,NZL,60.51763668430335
Nigeria,NGA,154.72288202692002
Norway,NOR,41.37170263788969
Pakistan,PAK,76.73387096774194
Palestine,PSE,143.61971830985917
Peru,PER,93.59751037344398
Philippines,PHL,197.28729281767957
Poland,POL,224.21557719054243
Portugal,PRT,197.96350364963504
Puerto Rico,PRI,92.65665236051503
Rest Caribbean,nan,117.92513611615244
Rest Eastern European,nan,87.5673076923077
Rest of Middle East,nan,144.79608695652175
Russia,RUS,236.37266355140187
Saudi Arabia,SAU,109.97391304347826
Scotland,GBR,392.6404593639576
Somalia,SOM,143.0
Spain,ESP,122.07225567392311
Sudan,SDN,31.736842105263158
Sweden,SWE,210.78485838779957
Switzerland,CHE,93.79740447007931
Thailand,THA,61.89404990403071
Turkey,TUR,88.98375870069606
UK,GBR,69.9949494949495
US,USA,72.6372490558537
Venezuela,VEN,112.88888888888889
Vietnam,VNM,180.97881355932202
Wales,GBR,167.66197183098592
Yemen,YEM,145
Oman,OMN,145
Bolivia,BOL,177
Uruguay,URY,177
Guyana,GUY,177
Belarus,BLR,145
Ukraine,UKR,88
Bulgaria,BGR,88
Romania,ROU,88
Moldova,MDA,88
Luxembourg,LUX,88
Andorra,AND,88
Paraguay,PRY,177
Algeria,DZA,156
Benin,BEN,156
Botswana,BWA,156
Burkina Faso,BFA,156
Burundi,BDI,156
Cabo Verde,CPV,156
Cameroon,CMR,156
Central African Republic,CAF,156
Chad,TCD,156
Comoros,COM,156
Congo,COG,156
Congo Democratic Republic of the,COD,156
Djibouti,DJI,156
Equatorial Guinea,GNQ,156
Eritrea,ERI,156
Eswatini,SWZ,156
Gabon,GAB,156
Gambia,GMB,156
Ghana,GHA,156
Guinea,GIN,156
Guinea-Bissau,GNB,156
Ivory Coast,CIV,156
Kenya,KEN,156
Lesotho,LSO,156
Liberia,LBR,156
Madagascar,MDG,156
Malawi,MWI,156
Mali,MLI,156
Mauritania,MRT,156
Mauritius,MUS,156
Mozambique,MOZ,156
Niger,NER,156
Rwanda,RWA,156
Sao Tome and Principe,STP,156
Senegal,SEN,156
Seychelles,SYC,156
Sierra Leone,SLE,156
South Africa,ZAF,156
South Sudan,SSD,156
Tanzania,TZA,156
Togo,TGO,156
Tunisia,TUN,156
Uganda,UGA,156
Zambia,ZMB,156
Zimbabwe,ZWE,156
